GROUP,PACKAGE,CLASS,Mutation Coverage,M_P,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,B_Coverage,B_P,LINE_MISSED,LINE_COVERED,Statement_Coverage,S_P,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Complexity,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4.queue,TransformedQueue,0.91,91,0,78,1,3,0.75,75,1,7,0.875,87.5,1,4,5,1,3
Apache Commons Collections,org.apache.commons.collections4.iterators,NodeListIterator,1,100,7,71,3,9,0.75,75,1,15,0.9375,93.75,3,8,11,0,5
Apache Commons Collections,org.apache.commons.collections4.iterators,ReverseListIterator,1,100,10,100,2,6,0.75,75,5,22,0.814814815,81.4814815,2,12,14,1,11
Apache Commons Collections,org.apache.commons.collections4.functors,InstantiateFactory,0.88,88,23,108,5,17,0.772727273,77.2727273,6,9,0.6,60,6,6,12,1,3
Apache Commons Collections,org.apache.commons.collections4.keyvalue,TiedMapEntry,0.9,90,3,106,5,17,0.772727273,77.2727273,11,10,0.476190476,47.6190476,6,4,10,4,4
Apache Commons Collections,org.apache.commons.collections4,ComparatorUtils,0.81,81,19,98,4,14,0.777777778,77.7777778,7,23,0.766666667,76.6666667,5,10,15,2,9
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultKeyValue,0.9,90,3,111,5,19,0.791666667,79.1666667,2,49,0.960784314,96.0784314,6,27,33,0,21
Apache Commons Collections,org.apache.commons.collections4,MultiMapUtils,0.68,68,32,77,4,16,0.8,80,9,51,0.85,85,5,21,26,3,17
Apache Commons Collections,org.apache.commons.collections4.iterators,ListIteratorWrapper,0.92,92,41,253,8,32,0.8,80,8,190,0.95959596,95.959596,10,89,99,1,48
Apache Commons Collections,org.apache.commons.collections4.iterators,CollatingIterator,0.77,77,79,322,9,39,0.8125,81.25,13,121,0.902985075,90.2985075,12,44,56,3,16
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableEntrySet,0.16,16,2,133,2,10,0.833333333,83.3333333,2,42,0.954545455,95.4545455,3,20,23,0,11
Apache Commons Collections,org.apache.commons.collections4.list,GrowthList,0.53,53,7,89,1,5,0.833333333,83.3333333,4,32,0.888888889,88.8888889,1,15,16,1,10
Apache Commons Collections,org.apache.commons.collections4.functors,IfTransformer,0.77,77,14,66,2,10,0.833333333,83.3333333,2,51,0.962264151,96.2264151,3,19,22,0,9
Apache Commons Collections,org.apache.commons.collections4.iterators,FilterListIterator,0.88,88,68,191,6,30,0.833333333,83.3333333,8,19,0.703703704,70.3703704,10,8,18,0,6
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorIterable,0.89,89,0,44,1,5,0.833333333,83.3333333,2,16,0.888888889,88.8888889,1,16,17,1,14
Apache Commons Collections,org.apache.commons.collections4.map,TransformedMap,0.91,91,1,144,2,10,0.833333333,83.3333333,10,55,0.846153846,84.6153846,3,23,26,0,20
Apache Commons Collections,org.apache.commons.collections4.functors,ComparatorPredicate,1,100,25,80,3,17,0.85,85,17,0,0,0,6,0,6,4,0
Apache Commons Collections,org.apache.commons.collections4.functors,InvokerTransformer,1,100,45,133,4,24,0.857142857,85.7142857,6,35,0.853658537,85.3658537,8,10,18,0,5
Apache Commons Collections,org.apache.commons.collections4.bag,TransformedBag,0.07,7,0,99,1,7,0.875,87.5,1,15,0.9375,93.75,2,14,16,0,6
Apache Commons Collections,org.apache.commons.collections4.bag,CollectionSortedBag,0.75,75,11,134,3,21,0.875,87.5,6,109,0.947826087,94.7826087,7,51,58,2,24
Apache Commons Collections,org.apache.commons.collections4.bag,CollectionBag,0.79,79,11,134,3,21,0.875,87.5,14,83,0.855670103,85.5670103,7,39,46,6,19
Apache Commons Collections,org.apache.commons.collections4.functors,AndPredicate,0.86,86,13,38,1,7,0.875,87.5,1,17,0.944444444,94.4444444,2,15,17,1,9
Apache Commons Collections,org.apache.commons.collections4.functors,OrPredicate,0.86,86,13,38,1,7,0.875,87.5,1,27,0.964285714,96.4285714,2,15,17,0,11
Apache Commons Collections,org.apache.commons.collections4.list,TransformedList,0.86,86,13,134,1,7,0.875,87.5,2,36,0.947368421,94.7368421,2,14,16,0,6
Apache Commons Collections,org.apache.commons.collections4.iterators,PeekingIterator,0.86,86,12,123,3,21,0.875,87.5,16,4,0.2,20,8,2,10,3,2
Apache Commons Collections,org.apache.commons.collections4.set,TransformedSet,0.89,89,0,67,1,7,0.875,87.5,0,38,1,100,2,16,18,0,12
Apache Commons Collections,org.apache.commons.collections4.collection,TransformedCollection,0.9,90,0,103,1,7,0.875,87.5,2,27,0.931034483,93.1034483,2,14,16,2,8
Apache Commons Collections,org.apache.commons.collections4.iterators,LoopingListIterator,0.93,93,16,137,3,21,0.875,87.5,7,120,0.94488189,94.488189,7,68,75,4,40
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap,0.91,91,13,327,5,39,0.886363636,88.6363636,19,30,0.612244898,61.2244898,12,13,25,3,6
Apache Commons Collections,org.apache.commons.collections4,ListUtils,0.85,85,51,376,8,66,0.891891892,89.1891892,16,30,0.652173913,65.2173913,18,21,39,4,10
